epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.54106,2.30124,3.93501,2.67196,0.00183,0.5,0.00774,0.00217,2.87663,5.23844,3.66795,1.25e-05,1.25e-05,1.25e-05
2,12.3619,2.31153,3.99491,2.50864,0.0018,0.5,0.01237,0.00371,2.49616,5.1175,3.34897,3.62625e-05,3.62625e-05,3.62625e-05
3,16.4342,2.35883,3.92894,2.5648,0.00229,0.75,0.03471,0.01041,1.98509,5.01254,2.99777,5.8375e-05,5.8375e-05,5.8375e-05
4,21.254,2.41661,3.931,2.77992,0.00356,1,0.03632,0.00589,1.84035,5.01978,2.85656,7.88375e-05,7.88375e-05,7.88375e-05
5,26.3232,2.27857,3.9325,2.46248,0.00358,1,0.04886,0.01357,1.92571,4.87095,2.73599,9.765e-05,9.765e-05,9.765e-05
6,31.6436,2.12573,3.87411,2.3544,0.00366,1,0.08137,0.01195,1.92772,4.83148,2.61331,0.000114813,0.000114813,0.000114813
7,36.7876,1.85955,3.70665,2.10697,0.00374,1,0.04453,0.01295,1.84682,4.96001,2.49903,0.000130325,0.000130325,0.000130325
8,41.7179,1.91822,3.82913,2.07378,0.00375,1,0.20336,0.03872,1.8848,5.00168,2.40573,0.000144187,0.000144187,0.000144187
9,46.8593,1.88148,3.72954,2.05308,0.00395,1,0.15961,0.04977,1.83542,4.72586,2.24466,0.0001564,0.0001564,0.0001564
10,52.0112,1.84944,3.78622,2.07384,0.00408,1,0.18311,0.05279,1.66846,4.84247,2.21753,0.000166962,0.000166962,0.000166962
11,57.1675,1.74284,3.59865,2.02686,0.00429,1,0.2142,0.07416,1.67296,4.74101,2.1804,0.000175875,0.000175875,0.000175875
12,62.5423,1.78677,3.55062,1.92742,0.00429,1,0.2142,0.07416,1.67296,4.74101,2.1804,0.000183137,0.000183137,0.000183137
13,67.6787,1.69051,3.60362,1.85786,0.00441,1,0.33858,0.15448,1.82985,4.43757,2.06665,0.00018875,0.00018875,0.00018875
14,72.8148,1.6455,3.40047,1.82056,0.00473,1,0.44222,0.19839,1.84461,4.38136,1.99245,0.000192713,0.000192713,0.000192713
15,77.8584,1.58579,3.60744,1.7601,0.00473,1,0.44222,0.19839,1.84461,4.38136,1.99245,0.000195025,0.000195025,0.000195025
16,83.1097,1.64071,3.36896,1.76487,0.00535,1,0.41873,0.21234,1.74852,4.44727,1.90829,0.000195688,0.000195688,0.000195688
17,88.5227,1.51725,3.30363,1.74846,0.00597,1,0.60806,0.23238,1.68782,4.38629,1.84634,0.0001947,0.0001947,0.0001947
18,93.4877,1.51089,3.32421,1.77808,0.00597,1,0.60806,0.23238,1.68782,4.38629,1.84634,0.000192062,0.000192062,0.000192062
19,98.7728,1.43307,3.31141,1.64253,0.00662,1,0.62809,0.25144,1.67911,4.33204,1.80893,0.000187775,0.000187775,0.000187775
20,104.028,1.54761,3.32308,1.64077,0.00662,1,0.62809,0.25144,1.67911,4.33204,1.80893,0.000181838,0.000181838,0.000181838
21,109.411,1.58833,3.93729,1.78937,0.00727,1,0.6264,0.24658,1.71312,4.45146,1.84588,0.00017425,0.00017425,0.00017425
22,114.441,1.51816,3.63401,1.81788,0.00727,1,0.6264,0.24658,1.71312,4.45146,1.84588,0.000165013,0.000165013,0.000165013
23,119.186,1.50663,3.70843,1.92662,0.00731,1,0.63742,0.19921,1.78052,4.42033,1.92217,0.000154125,0.000154125,0.000154125
24,123.767,1.35018,3.72946,1.69369,0.00731,1,0.63742,0.19921,1.78052,4.42033,1.92217,0.000141587,0.000141587,0.000141587
25,128.456,1.42282,3.70714,1.70421,0.00701,1,0.52238,0.16779,1.8468,4.34826,2.0041,0.0001274,0.0001274,0.0001274
26,133.176,1.50928,3.93589,1.74844,0.00701,1,0.52238,0.16779,1.8468,4.34826,2.0041,0.000111562,0.000111562,0.000111562
27,137.944,1.55173,3.94571,1.97501,0.00701,1,0.52238,0.16779,1.8468,4.34826,2.0041,9.4075e-05,9.4075e-05,9.4075e-05
28,142.99,1.43415,3.555,1.69473,0.00613,1,0.64675,0.22009,1.85976,4.35272,2.02101,7.49375e-05,7.49375e-05,7.49375e-05
29,147.932,1.40915,3.41771,1.74733,0.00613,1,0.64675,0.22009,1.85976,4.35272,2.02101,5.415e-05,5.415e-05,5.415e-05
30,152.946,1.42241,3.61205,1.80339,0.0057,1,0.64951,0.25304,1.85838,4.26327,1.97678,3.17125e-05,3.17125e-05,3.17125e-05
